# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "16" "-F" "SAF" "-a" "G.SAF" "-o" "G_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_188_R_Tb927.1.120	Tb927_01_v5.1	60191	61673	.	1483	4855	3259	169	155	10630	11129	10335	110	132	214	88	9	82	217	2	1	15	5	0	6	10	1	1	347	163	100	107	358	86	46	174	340	125	43	200
NA_peak_207_G_Tb927.1.270	Tb927_01_v5.1	106243	107747	.	1505	7088	1042	254	322	7413	5331	7159	175	46	56	147	47	1	0	9	4	2	0	4	21	1	0	2	168	55	26	39	104	54	24	28	147	104	17	39
NA_peak_211_R_Tb927.1.280	Tb927_01_v5.1	112760	113365	.	606	2612	2096	950	646	2979	3048	3626	24	12	5	11	17	0	8	68	13	0	7	26	3	0	0	10	46	14	14	22	36	0	7	18	35	0	0	6
NA_peak_220_G_Tb927.1.305	Tb927_01_v5.1	128982	129844	.	863	2940	65	104	102	4916	2344	2893	75	125	92	36	2	3	0	0	0	1	0	0	0	1	10	0	125	119	67	23	88	64	5	36	110	66	67	42
NA_peak_224_R_Tb927.1.370	Tb927_01_v5.1	138721	139382	.	662	164	74	41	30	233	237	465	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NA_peak_225_R_Tb927.1.370	Tb927_01_v5.1	139563	140255	.	693	249	17	17	31	783	975	1387	0	0	18	10	0	0	2	0	0	0	1	0	0	0	11	0	0	0	21	51	0	0	27	57	0	0	58	100
NA_peak_228_R_Tb927.1.380	Tb927_01_v5.1	144700	144911	.	212	1906	1653	609	337	2324	1996	2482	30	23	0	15	15	60	0	0	5	9	0	0	3	1	0	0	15	65	0	1	4	63	0	0	8	57	0	0
NA_peak_231_R_Tb927.1.400	Tb927_01_v5.1	149404	149824	.	421	882	334	165	83	1557	1468	1807	4	0	13	7	0	0	1	2	0	0	1	4	0	0	0	1	7	0	14	12	2	0	7	8	4	0	11	5
NA_peak_232_R_Tb927.1.400	Tb927_01_v5.1	150348	150692	.	345	1215	86	54	35	1563	1457	1923	41	28	6	29	1	1	0	0	0	0	0	0	0	0	0	1	49	34	11	5	30	37	7	3	46	35	11	4
NA_peak_237_G_Tb927.1.420	Tb927_01_v5.1	157619	158969	.	1351	3748	313	177	157	4615	4147	4160	46	30	125	67	2	0	1	0	0	1	0	0	1	0	1	2	62	12	73	64	91	14	33	53	115	16	62	81
NA_peak_255_G_Tb927.1.480	Tb927_01_v5.1	186012	188850	.	2839	1041	143	92	86	2072	2439	4126	25	5	18	25	1	0	3	0	0	0	2	0	0	0	0	0	4	11	36	18	7	10	42	22	12	24	85	40
NA_peak_257_G_Tb927.1.490	Tb927_01_v5.1	190170	191309	.	1140	4290	683	362	356	5856	6649	8432	2	8	106	11	1	0	3	9	0	0	2	12	0	0	8	3	0	35	114	19	0	33	128	13	2	82	174	16
NA_peak_262_G_Tb927.1.580	Tb927_01_v5.1	212353	213569	.	1217	478	16	5	16	3744	1850	2557	5	14	17	8	0	0	1	0	0	0	0	0	0	0	2	0	5	89	117	20	20	36	38	28	11	64	70	20
NA_peak_263_G_Tb927.1.600	Tb927_01_v5.1	216065	217263	.	1199	662	21	15	24	2915	2126	2100	3	14	25	5	0	1	0	1	0	0	0	0	0	0	0	0	3	42	79	6	29	26	23	17	7	34	52	14
NA_peak_264_G_Tb927.1.630	Tb927_01_v5.1	219030	219821	.	792	108	82	56	10	534	47	210	1	1	7	0	1	1	0	1	0	2	0	0	0	0	0	0	7	25	9	1	2	1	0	0	3	8	5	0
NA_peak_266_G_Tb927.1.650	Tb927_01_v5.1	223024	226229	.	3206	8430	1114	250	9	10765	9947	9072	111	52	15	16	9	11	4	0	0	3	1	0	0	0	0	0	112	60	9	19	113	34	8	16	98	45	9	16
NA_peak_267_R_Tb927.1.650	Tb927_01_v5.1	225927	226178	.	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_269_G_Tb927.1.690	Tb927_01_v5.1	230468	231576	.	1109	52	117	25	43	160	324	141	1	1	1	0	0	4	1	0	0	0	0	0	3	0	0	0	0	3	1	3	0	0	9	0	1	4	0	0
NA_peak_270_G_Tb927.1.700	Tb927_01_v5.1	232085	232884	.	800	75	1309	877	749	409	313	124	1	0	2	0	2	63	30	0	3	32	16	0	0	38	13	2	18	0	0	1	16	0	0	7	4	0	1	3
NA_peak_272_G_Tb927.1.730	Tb927_01_v5.1	237348	238249	.	902	209	10	5	2	663	802	569	4	10	3	2	0	2	0	0	0	0	0	0	0	0	0	0	10	4	6	9	9	0	0	32	8	1	4	11
NA_peak_278_G_Tb927.1.840	Tb927_01_v5.1	259429	260089	.	661	2143	60	35	75	3961	1273	5974	44	42	85	70	1	0	0	0	0	0	0	0	1	1	2	0	115	0	0	128	41	0	1	50	165	1	0	180
NA_peak_286_G_Tb927.1.1160	Tb927_01_v5.1	319947	321677	.	1731	1380	290	94	108	3525	3551	2968	10	12	24	14	3	1	5	6	0	0	1	2	0	1	2	0	27	24	30	30	24	20	40	29	18	20	43	26
NA_peak_287_G_Tb927.1.1210	Tb927_01_v5.1	325431	327409	.	1979	1056	529	210	114	1860	839	2019	34	8	4	1	16	1	0	0	6	0	0	0	6	0	0	0	49	17	4	1	14	12	0	0	57	31	5	2
NA_peak_288_R_Tb927.1.1220	Tb927_01_v5.1	326502	327393	.	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_289_G_Tb927.1.1230	Tb927_01_v5.1	328978	330467	.	1490	381	37	108	8	1613	3630	1743	3	10	9	4	1	0	1	1	4	0	0	2	1	0	0	0	8	39	24	1	2	81	67	0	2	39	34	0
NA_peak_290_G_Tb927.1.1270	Tb927_01_v5.1	335360	336818	.	1459	1274	394	4	2	3907	4304	1169	57	3	3	42	10	0	2	18	0	0	0	0	0	0	0	0	108	3	5	89	131	4	9	89	27	3	8	30
NA_peak_291_G_Tb927.1.1300	Tb927_01_v5.1	338947	339872	.	926	1495	2916	1566	420	4401	893	824	38	0	13	42	90	0	0	83	56	0	0	47	14	0	0	22	121	0	0	114	22	0	3	20	15	0	2	24
NA_peak_292_G_Tb927.1.1310	Tb927_01_v5.1	341114	342091	.	978	1167	7	6	4	5404	3681	3129	2	42	40	1	0	0	0	0	0	1	0	0	0	0	0	0	1	102	182	1	5	88	126	0	12	85	96	1
NA_peak_295_G_Tb927.1.1390	Tb927_01_v5.1	357619	359328	.	1710	923	104	53	11	2048	1332	1574	8	11	22	17	0	1	1	0	0	2	2	0	0	0	1	0	14	8	23	41	10	11	13	26	15	16	17	24
NA_peak_297_G_Tb927.1.1500	Tb927_01_v5.1	381926	382921	.	996	2173	660	190	594	6943	1302	182	3	51	54	36	13	2	3	13	3	1	0	4	3	0	0	0	6	170	0	5	2	45	1	0	1	1	3	0
NA_peak_299_G_Tb927.1.1530	Tb927_01_v5.1	392111	393183	.	1073	2766	4133	3304	1636	4218	3908	3222	122	32	6	167	197	1	0	257	169	0	0	237	85	0	0	133	31	140	31	58	1	156	37	1	4	134	27	1
