,Chromosome,Peak_Start,Peak_End,Peak_Name,UTR_Start,UTR_End,UTR_Gene_ID,UTR_Strand,UTR_Peak_overlap,Control_total,Control_F,Control_R,Treatment_total,Treatment_F,Treatment_R,Treatment_fraction_F,Treatment_fraction_R,Treatment_total_corrected_F,Treatment_total_corrected_R,download_seq,is_fully_contained
0,Tb927_01_v5.1,69815,70745,NA_peak_118,69661,69903,Tb927.1.180,-,88,6972,118,71,15571,408,57,0.8774193548387097,0.1225806451612903,13662.296774193548,1908.7032258064512,Tb927_01_v5.1:69815..69903:r,False
1,Tb927_01_v5.1,85792,86127,NA_peak_120,85611,85853,Tb927.1.220,-,61,3363,132,140,7286,523,154,0.7725258493353028,0.22747415066469723,5628.623338257016,1657.376661742984,Tb927_01_v5.1:85792..85853:r,False
3,Tb927_01_v5.1,202076,204347,NA_peak_125,204160,204417,Tb927.1.540,-,187,5250,114,173,22674,542,438,0.5530612244897959,0.4469387755102041,12540.110204081631,10133.889795918369,Tb927_01_v5.1:204160..204347:r,False
4,Tb927_01_v5.1,230915,232950,NA_peak_126,231675,232503,Tb927.1.700,-,828,122,1,4,3232,10,202,0.04716981132075472,0.9528301886792453,152.45283018867926,3079.5471698113206,Tb927_01_v5.1:231675..232503:r,False
5,Tb927_01_v5.1,263874,264334,NA_peak_129,263913,264383,Tb927.1.880,-,421,285,20,28,6872,915,7,0.9924078091106291,0.007592190889370909,6819.826464208243,52.17353579175688,Tb927_01_v5.1:263913..264334:r,False
6,Tb927_01_v5.1,307213,308254,NA_peak_132,307301,307362,Tb927.1.1080,+,61,149,3,1,471,9,24,0.2727272727272727,0.7272727272727273,128.45454545454544,342.54545454545456,Tb927_01_v5.1:307301..307362:f,False
8,Tb927_01_v5.1,332134,332553,NA_peak_133,332059,334556,Tb927.1.1240,+,419,154,2,1,380,12,10,0.5454545454545454,0.4545454545454546,207.27272727272725,172.72727272727275,Tb927_01_v5.1:332134..332553:f,True
9,Tb927_01_v5.1,332822,334103,NA_peak_134,332059,334556,Tb927.1.1240,+,1281,221,0,2,628,0,1,0.0,1.0,0.0,628.0,Tb927_01_v5.1:332822..334103:f,True
10,Tb927_01_v5.1,338861,339936,NA_peak_135,339022,339333,Tb927.1.1300,+,311,1528,81,13,4919,320,1,0.9968847352024922,0.0031152647975077885,4903.676012461059,15.323987538940811,Tb927_01_v5.1:339022..339333:f,False
11,Tb927_01_v5.1,354264,355136,NA_peak_136,354963,356740,Tb927.1.1380,+,173,52,0,4,390,2,16,0.1111111111111111,0.8888888888888888,43.33333333333333,346.66666666666663,Tb927_01_v5.1:354963..355136:f,False
12,Tb927_01_v5.1,355436,356028,NA_peak_137,354963,356740,Tb927.1.1380,+,592,45,2,9,1399,1,167,0.005952380952380952,0.9940476190476191,8.327380952380953,1390.672619047619,Tb927_01_v5.1:355436..356028:f,True
13,Tb927_01_v5.1,377718,380668,NA_peak_138,376873,384732,Tb927.1.1500,+,2950,523,16,11,7729,287,45,0.8644578313253012,0.13554216867469882,6681.394578313253,1047.6054216867471,Tb927_01_v5.1:377718..380668:f,True
14,Tb927_01_v5.1,384233,385330,NA_peak_139,376873,384732,Tb927.1.1500,+,499,382,2,46,1574,25,68,0.26881720430107525,0.7311827956989247,423.1182795698924,1150.8817204301076,Tb927_01_v5.1:384233..384732:f,False
15,Tb927_01_v5.1,392057,393209,NA_peak_140,390939,394564,Tb927.1.1530,+,1152,5356,316,97,17754,1151,6,0.9948141745894555,0.0051858254105444646,17661.930855661194,92.06914433880642,Tb927_01_v5.1:392057..393209:f,True
16,Tb927_01_v5.1,398920,400035,NA_peak_141,399263,399439,Tb927.1.1550,+,176,210,4,8,1448,83,10,0.8924731182795699,0.10752688172043012,1292.3010752688172,155.6989247311828,Tb927_01_v5.1:399263..399439:f,False
17,Tb927_01_v5.1,423732,424530,NA_peak_143,423281,424412,Tb927.1.1670,+,680,247,17,10,673,37,13,0.74,0.26,498.02,174.98000000000002,Tb927_01_v5.1:423732..424412:f,False
18,Tb927_01_v5.1,425460,426878,NA_peak_144,425380,425655,Tb927.1.1680,+,195,568,6,25,1860,98,14,0.875,0.125,1627.5,232.5,Tb927_01_v5.1:425460..425655:f,False
19,Tb927_01_v5.1,436343,437801,NA_peak_145,436304,436805,Tb927.1.1710,+,462,1045,72,13,6017,295,22,0.9305993690851735,0.06940063091482651,5599.416403785489,417.5835962145111,Tb927_01_v5.1:436343..436805:f,False
20,Tb927_01_v5.1,462690,463625,NA_peak_148,462854,463309,Tb927.1.1740,+,455,82,7,0,402,34,0,1.0,0.0,402.0,0.0,Tb927_01_v5.1:462854..463309:f,False
21,Tb927_01_v5.1,468709,469948,NA_peak_149,468880,470003,Tb927.1.1790,+,1068,6354,414,114,27271,1493,775,0.658289241622575,0.34171075837742504,17952.20590828924,9318.794091710759,Tb927_01_v5.1:468880..469948:f,False
22,Tb927_01_v5.1,472998,474367,NA_peak_150,471418,473034,Tb927.1.1820,+,36,1577,19,108,18371,55,1145,0.04583333333333333,0.9541666666666667,842.0041666666666,17528.995833333334,Tb927_01_v5.1:472998..473034:f,False
23,Tb927_01_v5.1,483292,484759,NA_peak_152,481678,483705,Tb927.1.1850,+,413,613,24,19,7936,349,45,0.8857868020304569,0.1142131979695431,7029.604060913706,906.395939086294,Tb927_01_v5.1:483292..483705:f,False
24,Tb927_01_v5.1,492388,493413,NA_peak_153,492544,492637,Tb927.1.1890,+,93,727,30,30,3075,13,221,0.05555555555555555,0.9444444444444444,170.83333333333331,2904.1666666666665,Tb927_01_v5.1:492544..492637:f,False
25,Tb927_01_v5.1,499964,500494,NA_peak_154,499520,500775,Tb927.1.1920,+,530,1912,54,80,5993,66,660,0.09090909090909091,0.9090909090909091,544.8181818181819,5448.181818181818,Tb927_01_v5.1:499964..500494:f,True
26,Tb927_01_v5.1,538634,539451,NA_peak_158,538326,540233,Tb927.1.2110,+,817,515,5,55,2427,7,182,0.037037037037037035,0.962962962962963,89.88888888888889,2337.1111111111113,Tb927_01_v5.1:538634..539451:f,True
27,Tb927_01_v5.1,539524,540466,NA_peak_159,538326,540233,Tb927.1.2110,+,709,311,8,37,1962,8,120,0.0625,0.9375,122.625,1839.375,Tb927_01_v5.1:539524..540233:f,False
28,Tb927_01_v5.1,557505,558677,NA_peak_161,558474,559934,Tb927.1.2190,+,203,2895,1,187,6930,3,389,0.007653061224489796,0.9923469387755102,53.035714285714285,6876.964285714285,Tb927_01_v5.1:558474..558677:f,False
29,Tb927_01_v5.1,559205,560031,NA_peak_162,558474,559934,Tb927.1.2190,+,729,2178,4,229,24893,5,2023,0.002465483234714004,0.997534516765286,61.3732741617357,24831.626725838265,Tb927_01_v5.1:559205..559934:f,False
30,Tb927_01_v5.1,565423,567614,NA_peak_163,565367,568411,Tb927.1.2260,+,2191,939,11,88,6146,441,78,0.8497109826589595,0.1502890173410405,5222.323699421965,923.6763005780349,Tb927_01_v5.1:565423..567614:f,True
31,Tb927_01_v5.1,568926,569724,NA_peak_164,569508,569682,Tb927.1.2320,+,174,11,1,0,322,0,17,0.0,1.0,0.0,322.0,Tb927_01_v5.1:569508..569682:f,False
32,Tb927_01_v5.1,593379,594179,NA_peak_166,592898,593869,Tb927.1.2430,+,490,5,0,3,79,0,0,,,,,Tb927_01_v5.1:593379..593869:f,False
