# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "merge_macs_BSF_B/merge_macs_BSF_B.SAF" "-o" "merge_macs_BSF_B/merge_macs_BSF_B_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam
NA_peak_1	11L3_v3	22346	23528	.	1183	221	689	470	354	5	1	8	3	3	5	14	23	6	1	2	11	3	0	3	8
NA_peak_2	11L3_v3	26393	26954	.	562	47	94	35	13	4	0	0	0	11	0	0	0	2	0	0	0	1	0	0	0
NA_peak_3	11L3_v3	27519	28717	.	1199	25	189	282	422	0	0	1	0	2	3	11	0	1	5	15	0	2	14	23	0
NA_peak_4	11L3_v3	44970	45408	.	439	48	225	57	100	2	0	0	0	2	5	4	1	1	1	0	0	2	2	1	0
NA_peak_5	11L3_v3	50065	50477	.	413	124	206	83	100	0	8	4	4	0	15	22	0	0	12	7	0	0	9	7	0
NA_peak_6	11L3_v3	54025	54923	.	899	25	39	65	25	0	0	0	0	2	2	0	0	1	1	3	0	0	2	2	1
NA_peak_7	5K5_v5.1	1983	3503	.	1521	933	7156	4377	2358	17	1	0	31	136	3	2	128	88	0	1	103	50	0	0	49
NA_peak_8	5K5_v5.1	3902	5898	.	1997	251	549	499	468	3	8	5	4	3	29	13	1	3	25	16	1	1	20	14	0
NA_peak_9	5K5_v5.1	6985	8467	.	1483	195	348	160	305	8	5	1	2	0	2	3	1	0	0	1	0	1	1	5	0
NA_peak_10	5K5_v5.1	10746	11356	.	611	897	1156	600	256	13	27	39	0	7	40	77	0	4	31	41	0	1	12	16	0
NA_peak_11	5K5_v5.1	14132	14597	.	466	237	522	3	105	0	17	0	0	0	38	0	0	0	0	0	0	0	0	0	0
NA_peak_12	5K5_v5.1	14884	15420	.	537	209	523	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_13	5K5_v5.1	15819	16297	.	479	148	358	95	33	5	9	11	0	1	34	28	0	1	5	2	0	0	2	0	0
NA_peak_14	5K5_v5.1	17870	18291	.	422	33	60	16	9	0	0	2	0	0	0	2	4	0	0	0	1	0	0	0	0
NA_peak_15	5K5_v5.1	19291	20048	.	758	26	216	239	107	1	0	1	0	0	1	2	9	0	0	2	8	0	0	1	7
NA_peak_16	5K5_v5.1	24302	26122	.	1821	815	4178	4673	6784	18	3	7	45	8	49	95	3	12	61	127	4	17	71	180	5
NA_peak_17	5K5_v5.1	27673	28769	.	1097	3	67	145	22	0	0	0	0	0	2	3	0	0	2	5	0	0	0	0	0
NA_peak_18	5K5_v5.1	61224	62321	.	1098	539	2525	2427	1651	14	31	3	4	71	1	0	5	68	1	0	3	47	0	0	3
NA_peak_19	5K5_v5.1	63143	63986	.	844	359	1127	173	222	16	0	3	16	50	0	0	44	5	0	0	4	5	0	0	9
NA_peak_20	5K5_v5.1	68287	69196	.	910	1363	5137	4947	3691	28	18	1	26	134	3	1	29	131	2	0	6	96	2	3	22
NA_peak_21	5K5_v5.1	77724	78179	.	456	41	142	67	57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_22	5K5_v5.1	79430	79731	.	302	317	187	213	234	18	28	0	0	17	0	0	0	22	0	0	0	22	2	0	0
NA_peak_23	5K5_v5.1	79818	80689	.	872	764	461	598	589	1	4	0	0	0	0	0	0	4	0	0	0	3	1	0	0
NA_peak_24	5K5_v5.1	81039	81390	.	352	453	291	330	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_25	5K5_v5.1	87562	88902	.	1341	1527	7788	4001	924	1	60	1	0	1	206	11	0	0	121	3	0	0	36	0	0
NA_peak_26	5K5_v5.1	89573	90760	.	1188	401	795	807	1182	21	0	4	4	3	10	14	1	2	9	20	1	2	16	19	1
NA_peak_27	5K5_v5.1	91312	92370	.	1059	269	1041	1750	2014	7	12	0	1	0	28	15	0	1	72	24	0	3	73	30	0
NA_peak_28	5K5_v5.1	101497	102135	.	639	56	131	115	117	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0
NA_peak_29	5K5_v5.1	104844	106608	.	1765	137	664	370	123	0	0	0	0	1	9	0	0	1	6	0	0	1	1	0	0
NA_peak_30	5K5_v5.1	118150	118966	.	817	1017	1351	904	361	0	2	1	0	2	3	0	0	0	1	0	0	1	1	0	0
NA_peak_31	5K5_v5.1	119695	120196	.	502	933	1387	1056	523	21	15	15	0	41	6	0	0	37	4	1	0	23	8	0	0
NA_peak_32	5K5_v5.1	121734	123071	.	1338	589	1426	1635	1613	34	10	20	17	18	31	59	16	6	42	76	1	5	49	62	0
NA_peak_33	5K5_v5.1	138323	138628	.	306	556	420	310	357	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
NA_peak_34	5K5_v5.1	139876	141228	.	1353	2217	4307	4967	6739	45	14	12	56	17	114	135	5	16	107	177	7	33	164	226	9
NA_peak_35	5K5_v5.1	146127	146517	.	391	660	2593	1464	756	24	1	24	22	334	0	4	199	189	0	1	127	111	0	0	75
NA_peak_36	5K5_v5.1	147416	149516	.	2101	1588	4902	4710	5325	14	13	0	4	17	58	6	2	10	58	3	0	15	60	0	0
NA_peak_37	5K5_v5.1	158402	158740	.	339	132	3128	4046	7070	3	2	0	29	8	177	0	0	8	240	0	0	12	369	0	0
NA_peak_38	FM162566.1	2557	2942	.	386	3441	2144	1860	1996	84	33	0	0	90	4	0	1	100	1	0	0	105	4	0	0
NA_peak_39	FM162566.1	3273	4209	.	937	6712	7576	7238	7376	33	24	72	101	33	0	14	88	12	0	10	83	2	0	11	80
NA_peak_40	FM162566.1	4634	6694	.	2061	10682	20148	20797	20820	138	96	164	214	242	3	80	488	236	2	75	429	131	1	87	459
NA_peak_41	FM162566.1	7007	7705	.	699	3623	8709	8565	7745	128	49	16	52	339	4	1	147	282	1	2	134	252	3	1	150
NA_peak_42	FM162566.1	13220	14308	.	1089	293	1846	2944	6542	10	4	4	0	68	3	6	58	93	1	11	74	211	6	14	126
NA_peak_43	FM162566.1	14449	15557	.	1109	1973	5845	5221	5802	36	19	30	44	14	0	1	146	20	0	5	101	19	0	1	59
NA_peak_44	FM162566.1	29164	30356	.	1193	1937	4575	4215	4538	30	11	18	28	91	0	2	42	68	0	3	37	56	0	2	26
NA_peak_45	FM162566.1	42026	42391	.	366	638	750	771	612	24	5	20	41	34	2	5	21	23	0	2	16	30	1	0	12
NA_peak_46	FM162566.1	42587	43956	.	1370	4711	10729	9020	8968	122	143	30	153	143	25	10	489	134	22	10	393	132	8	4	443
NA_peak_47	FM162566.1	44997	45998	.	1002	5292	10762	6517	6593	107	50	22	137	229	1	8	276	139	1	8	172	147	0	10	182
NA_peak_48	FM162566.1	47802	48371	.	570	4742	5186	3680	3173	108	59	35	0	67	4	1	1	35	0	0	0	8	1	0	2
NA_peak_49	FM162566.1	48871	49294	.	424	2213	2137	1258	1142	1	0	19	16	0	0	4	23	0	0	4	11	0	0	3	16
NA_peak_50	FM162566.1	52356	52716	.	361	148	367	291	354	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1
NA_peak_51	FM162566.1	58434	59069	.	636	403	3185	3947	6001	0	0	0	3	0	0	0	12	1	1	0	15	0	0	0	28
NA_peak_52	FM162566.1	59209	59762	.	554	104	1632	1428	1719	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
NA_peak_53	FM162567.1	3519	4139	.	621	4259	4156	3200	2950	34	10	70	108	3	0	17	69	15	0	15	57	2	0	4	32
NA_peak_54	FM162567.1	4500	6498	.	1999	7172	11564	11122	11237	133	89	94	145	370	10	19	112	416	11	17	78	409	15	11	48
NA_peak_55	FM162567.1	6853	8996	.	2144	6514	11986	12280	12423	94	61	117	119	276	6	72	261	310	7	74	258	288	12	72	217
NA_peak_56	FM162567.1	9309	10023	.	715	1887	4382	4595	3888	73	43	18	4	177	3	0	12	156	0	0	10	135	3	0	9
NA_peak_57	FM162567.1	10517	10963	.	447	1500	5174	6039	3070	0	0	65	68	4	0	9	239	0	0	8	277	0	0	8	147
NA_peak_58	FM162567.1	15532	16515	.	984	270	1397	2414	5455	32	6	1	2	60	0	11	49	76	0	10	57	170	2	16	123
NA_peak_59	FM162567.1	16938	17821	.	884	2757	9490	7900	8306	49	13	50	74	45	3	4	171	50	0	2	143	40	0	3	110
NA_peak_60	FM162567.1	31353	32563	.	1211	3201	8370	6658	6964	69	62	14	71	160	3	3	135	126	1	0	80	146	0	2	66
NA_peak_61	FM162567.1	37628	38222	.	595	4297	4325	2501	2104	8	1	72	77	3	0	28	111	1	0	18	81	0	0	12	77
NA_peak_62	FM162567.1	42687	43781	.	1095	5827	6655	5389	4910	54	15	15	16	1	0	11	26	0	0	2	18	0	0	0	22
NA_peak_63	FM162567.1	43823	44187	.	365	4032	3379	2482	2252	5	9	93	124	0	0	46	127	0	0	32	92	0	0	32	83
NA_peak_64	FM162567.1	48100	48478	.	379	272	279	202	77	9	5	0	0	11	3	0	0	8	7	0	0	2	2	0	0
NA_peak_65	FM162567.1	50195	51754	.	1560	331	3429	3375	4925	0	1	3	0	2	1	0	9	0	0	2	5	1	0	2	16
NA_peak_66	GTRYP_4071_4094-1a01.w2k4071	7566	7894	.	329	214	107	137	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_67	TP26M21-2a10.p1k	14054	14718	.	665	42	108	79	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_68	TP26M21-2a10.p1k	14973	15368	.	396	9	31	26	17	0	0	0	1	0	0	1	7	0	0	0	8	0	0	0	0
NA_peak_69	TP26M21-2a10.p1k	22702	23828	.	1127	15	60	26	17	0	0	0	1	0	0	0	11	0	0	0	6	0	0	0	2
NA_peak_70	TP26M21-2a10.p1k	29833	30394	.	562	654	1033	696	497	17	21	0	3	10	34	0	0	4	20	0	0	3	18	0	0
NA_peak_71	TP26M21-2a10.p1k	30691	31255	.	565	594	947	691	561	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_72	TP26P4-1a02.q1ka	2697	4822	.	2126	28	72	18	136	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0
NA_peak_73	TP26P4-1a02.q1ka	11966	12801	.	836	48	54	56	63	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0
NA_peak_74	TP26P4-3b07.q1k	2163	2608	.	446	116	105	76	74	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
NA_peak_75	TP26P4-3b07.q1k	3803	6135	.	2333	4049	8133	8398	8800	15	6	2	55	13	58	1	0	11	45	0	0	8	55	0	0
NA_peak_76	TP26P4-3b07.q1k	6881	7934	.	1054	537	1182	1560	2166	0	24	8	0	2	148	0	0	1	172	0	0	1	184	0	0
NA_peak_77	TP26P4-3b07.q1k	11286	12489	.	1204	405	1232	1584	1778	0	1	2	20	3	10	47	6	1	44	35	0	2	30	37	1
NA_peak_78	TP26P4-3b07.q1k	22912	23647	.	736	12	2	1	163	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_79	TP26P4-3b07.q1k	23797	25087	.	1291	70	259	142	340	1	3	2	0	5	1	1	4	3	0	0	0	19	3	2	5
NA_peak_80	TP26P4-3b07.q1k	27271	27585	.	315	9	40	46	57	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NA_peak_81	TP26P4-3b07.q1k	31282	32524	.	1243	216	4865	7011	8804	6	4	1	2	16	189	174	0	17	264	262	0	30	303	284	1
NA_peak_82	TP26P4-3b07.q1k	37910	39025	.	1116	747	2429	2967	4160	25	8	6	17	3	36	51	0	7	58	48	1	6	120	75	1
NA_peak_83	TP26P4-3b07.q1k	40710	43693	.	2984	737	1784	1265	1524	25	8	1	0	7	39	0	0	5	32	0	0	6	32	2	0
NA_peak_84	TP26P4-3b07.q1k	47285	47638	.	354	93	467	312	220	2	2	21	3	3	6	83	7	2	6	43	3	3	4	34	1
NA_peak_85	TP26P4-5g04.p1k	5457	5758	.	302	30	60	70	119	0	2	5	2	1	1	12	0	0	0	18	0	0	0	20	0
NA_peak_86	TP26P4-5g04.p1k	7794	8335	.	542	162	210	162	217	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
NA_peak_87	TP26P4-5g04.p1k	8520	8997	.	478	81	193	283	361	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_88	TP26P4-5g04.p1k	10781	11100	.	320	48	57	7	52	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
NA_peak_89	TP26P4-5g04.p1k	11682	12118	.	437	52	38	37	59	0	5	4	0	0	1	0	0	0	3	0	0	0	7	0	0
NA_peak_90	TP26P4-6c09.p1k	12904	13311	.	408	240	770	642	453	15	21	15	10	37	120	33	34	21	124	39	15	9	90	24	8
NA_peak_91	TP26P4-6c09.p1k	20894	21512	.	619	55	166	161	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_92	TP26P4-6c09.p1k	21993	22376	.	384	56	63	53	56	0	11	1	0	0	0	1	1	1	0	0	1	4	0	0	1
NA_peak_93	TP26P4-6c09.p1k	23652	24127	.	476	60	90	77	32	3	5	0	0	9	1	0	0	12	0	0	0	4	0	0	0
NA_peak_94	TP29O12a-1b01.p1k	8452	9516	.	1065	1138	2868	3031	3503	2	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_95	TP29O12a-1b01.p1k	10653	11246	.	594	472	467	596	1045	1	1	0	2	0	0	0	2	1	1	0	0	0	0	0	0
NA_peak_96	TP29O12a-1b01.p1k	11644	12202	.	559	105	433	479	935	6	2	2	2	8	0	3	0	9	0	5	0	21	0	4	0
NA_peak_97	TP29O12a-1b01.p1k	16237	16557	.	321	372	622	667	922	0	0	19	4	0	0	2	38	0	0	5	44	0	0	6	58
NA_peak_98	TP29O12a-1b01.p1k	16652	17051	.	400	1747	1471	1926	992	60	51	1	1	84	0	0	2	116	0	0	3	59	2	1	3
NA_peak_99	TP29O12a-1b01.p1k	17070	17551	.	482	1834	1516	1945	968	3	18	58	92	0	0	1	83	4	1	0	115	2	0	1	53
NA_peak_100	TP29O12a-1b01.p1k	22701	23127	.	427	719	1276	863	956	0	0	18	1	0	0	218	1	1	0	171	0	0	0	188	0
NA_peak_101	TP3F6-6f06.p1k	1327	1631	.	305	1	18	244	9	0	0	0	0	0	0	2	0	0	15	34	0	0	0	0	0
NA_peak_102	TP3F6-6f06.p1k	7487	7902	.	416	39	323	127	85	0	0	3	0	0	0	11	0	0	0	8	0	0	0	4	0
NA_peak_103	TP3F6-6f06.p1k	10272	10608	.	337	0	1	0	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NA_peak_104	TP3F6-6f06.p1k	14691	15009	.	319	0	19	0	10	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NA_peak_105	TP3F6-6h01.p1k	748	1518	.	771	1566	1033	740	2278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_106	TP3F6-6h01.p1k	5389	5719	.	331	332	236	176	138	0	0	6	4	0	0	2	1	0	0	0	1	0	0	0	0
NA_peak_107	TPB1C9-1a08.q1k	109	548	.	440	44	46	45	56	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0
NA_peak_108	TPB1C9-1a08.q1k	8306	9462	.	1157	1441	3866	402	212	0	2	31	12	0	13	112	4	0	0	9	3	0	0	5	0
NA_peak_109	Tb927_01_v5.1	3	501	.	499	108	1074	1120	1768	0	0	0	0	0	0	0	4	0	0	1	4	0	0	0	4
NA_peak_110	Tb927_01_v5.1	7774	8245	.	472	303	433	413	396	0	8	21	6	0	14	44	5	0	6	68	5	0	3	61	4
NA_peak_111	Tb927_01_v5.1	12065	12387	.	323	396	578	160	109	0	0	27	53	0	0	41	0	0	0	22	2	0	0	14	0
NA_peak_112	Tb927_01_v5.1	34837	37579	.	2743	25	1290	1040	1217	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_113	Tb927_01_v5.1	37603	39904	.	2302	87	807	656	788	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_114	Tb927_01_v5.1	40706	41234	.	529	198	321	215	200	1	2	10	1	0	1	0	12	0	0	2	5	0	0	1	7
NA_peak_115	Tb927_01_v5.1	42487	42919	.	433	1080	1954	664	309	35	51	29	1	39	84	123	0	7	43	35	0	1	29	20	0
NA_peak_116	Tb927_01_v5.1	66838	68194	.	1357	4569	9652	7579	5759	66	84	26	19	43	202	2	1	35	151	0	0	25	107	0	0
NA_peak_117	Tb927_01_v5.1	68432	69141	.	710	1581	4006	3224	2499	2	0	39	16	2	0	171	12	0	0	150	10	0	1	127	10
NA_peak_118	Tb927_01_v5.1	69815	70745	.	931	6972	5991	4909	4671	57	13	58	61	21	22	9	135	7	10	3	127	10	9	4	108
NA_peak_119	Tb927_01_v5.1	82784	85189	.	2406	11407	19479	15171	10999	102	130	111	60	48	206	207	14	32	147	149	6	22	125	128	8
NA_peak_120	Tb927_01_v5.1	85792	86127	.	336	3363	2729	2332	2225	120	128	12	12	181	54	3	2	177	49	2	0	161	42	4	2
NA_peak_121	Tb927_01_v5.1	135484	135809	.	326	709	395	445	514	2	1	4	30	0	0	16	0	0	0	33	3	0	0	30	0
NA_peak_122	Tb927_01_v5.1	145934	146522	.	589	3603	3503	2456	2326	51	55	100	44	10	44	232	5	0	38	221	4	1	33	191	1
NA_peak_123	Tb927_01_v5.1	198478	199722	.	1245	9135	8859	8737	10282	23	1	43	155	1	0	10	62	0	0	20	57	0	0	12	46
NA_peak_124	Tb927_01_v5.1	200756	201080	.	325	621	954	998	898	5	9	1	0	29	24	0	0	33	17	0	0	25	6	0	0
NA_peak_125	Tb927_01_v5.1	202076	204347	.	2272	5250	11700	6221	4753	50	98	75	64	123	140	131	114	87	44	60	91	62	18	45	65
NA_peak_126	Tb927_01_v5.1	230915	232950	.	2036	122	1495	918	819	1	1	3	0	2	71	31	0	3	33	16	0	3	38	13	2
NA_peak_127	Tb927_01_v5.1	234188	234562	.	375	10	181	111	106	0	0	1	0	0	0	27	0	0	1	14	1	0	2	15	0
NA_peak_128	Tb927_01_v5.1	235783	236146	.	364	1	52	21	19	0	0	0	0	0	0	7	0	0	0	1	0	0	0	3	0
NA_peak_129	Tb927_01_v5.1	263874	264334	.	461	285	3678	1620	1574	10	18	10	10	284	0	5	191	140	0	2	95	121	0	0	84
NA_peak_130	Tb927_01_v5.1	282479	283459	.	981	1	67	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_131	Tb927_01_v5.1	286910	288657	.	1748	3135	12240	7252	6453	38	3	23	83	167	0	7	240	112	0	3	158	82	0	2	155
NA_peak_132	Tb927_01_v5.1	307213	308254	.	1042	149	365	66	40	3	1	0	0	5	14	6	2	2	0	1	0	0	2	1	0
NA_peak_133	Tb927_01_v5.1	332134	332553	.	420	154	139	146	95	2	1	0	0	5	4	0	0	6	5	0	0	1	1	0	0
NA_peak_134	Tb927_01_v5.1	332822	334103	.	1282	221	231	265	132	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
NA_peak_135	Tb927_01_v5.1	338861	339936	.	1076	1528	2928	1569	422	39	0	13	42	95	0	1	84	57	0	0	47	15	0	0	22
NA_peak_136	Tb927_01_v5.1	354264	355136	.	873	52	143	221	26	0	0	4	0	0	4	5	1	0	4	3	1	0	0	0	0
NA_peak_137	Tb927_01_v5.1	355436	356028	.	593	45	487	450	462	2	4	5	0	0	35	31	0	0	23	31	0	1	24	23	0
NA_peak_138	Tb927_01_v5.1	377718	380668	.	2951	523	2770	2084	2875	9	3	8	7	60	5	11	45	40	2	15	45	52	2	10	45
NA_peak_139	Tb927_01_v5.1	384233	385330	.	1098	382	417	394	763	1	29	17	1	3	13	13	3	3	13	13	4	4	8	8	8
NA_peak_140	Tb927_01_v5.1	392057	393209	.	1153	5356	8098	6357	3299	133	34	63	183	204	1	5	277	174	0	0	257	89	0	0	150
NA_peak_141	Tb927_01_v5.1	398920	400035	.	1116	210	547	400	501	4	6	2	0	18	0	6	11	12	0	3	13	12	0	1	17
NA_peak_142	Tb927_01_v5.1	412609	412923	.	315	253	356	60	104	0	0	10	8	0	0	16	9	0	0	6	1	0	0	7	0
NA_peak_143	Tb927_01_v5.1	423732	424530	.	799	247	294	323	56	8	3	7	9	4	4	6	12	1	3	0	16	1	0	0	3
NA_peak_144	Tb927_01_v5.1	425460	426878	.	1419	568	1116	499	245	3	8	17	3	26	2	5	35	10	2	3	14	5	1	1	8
NA_peak_145	Tb927_01_v5.1	436343	437801	.	1459	1045	2323	1873	1821	38	8	5	34	55	0	10	63	49	0	6	42	50	2	4	36
NA_peak_146	Tb927_01_v5.1	444694	445291	.	598	0	35	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_147	Tb927_01_v5.1	459770	460161	.	392	0	9	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_148	Tb927_01_v5.1	462690	463625	.	936	82	397	2	3	4	0	0	3	17	0	0	17	0	0	0	0	0	0	0	0
NA_peak_149	Tb927_01_v5.1	468709	469948	.	1240	6354	11163	7950	8158	164	42	72	250	302	69	216	336	230	66	191	198	205	71	162	222
NA_peak_150	Tb927_01_v5.1	472998	474367	.	1370	1577	5710	5413	7248	10	55	53	9	19	171	186	1	20	175	170	3	11	217	226	1
NA_peak_151	Tb927_01_v5.1	479746	480468	.	723	884	2286	3	36	6	53	29	1	1	97	88	0	0	0	0	0	0	0	0	0
NA_peak_152	Tb927_01_v5.1	483292	484759	.	1468	613	2793	2589	2554	11	3	16	13	68	0	14	65	58	2	16	53	57	0	13	48
NA_peak_153	Tb927_01_v5.1	492388	493413	.	1026	727	1582	1022	471	19	11	19	11	6	41	65	0	2	31	44	0	5	25	15	0
NA_peak_154	Tb927_01_v5.1	499964	500494	.	531	1912	2144	1836	2013	47	80	0	7	37	106	95	0	17	102	109	0	12	131	117	0
NA_peak_155	Tb927_01_v5.1	512042	513190	.	1149	3538	14308	5049	3169	12	106	97	21	11	322	282	24	0	146	123	11	2	111	74	7
NA_peak_156	Tb927_01_v5.1	523522	524297	.	776	4204	8647	9479	11171	0	15	126	29	0	227	444	6	0	259	481	2	2	278	561	1
NA_peak_157	Tb927_01_v5.1	530515	531421	.	907	648	1345	1130	1668	4	36	32	1	58	0	1	18	50	0	0	11	69	1	1	18
NA_peak_158	Tb927_01_v5.1	538634	539451	.	818	515	1378	1002	47	4	36	19	1	2	63	44	1	2	33	41	0	2	0	1	0
NA_peak_159	Tb927_01_v5.1	539524	540466	.	943	311	445	778	739	1	20	17	7	0	10	14	1	1	26	26	1	2	22	22	3
