# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "16" "-F" "SAF" "-a" "B.SAF" "-o" "B_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_118_G_Tb927.1.180	Tb927_01_v5.1	69192	70695	.	1504	9108	7810	6143	6061	9691	8487	9659	213	107	97	78	126	67	188	183	95	27	160	181	129	25	136	168	202	113	15	66	168	73	6	58	229	75	27	71
NA_peak_120_G_Tb927.1.220	Tb927_01_v5.1	85652	86077	.	426	3474	2730	2336	2272	2926	2930	3382	160	130	16	11	201	70	2	2	194	66	1	0	176	49	3	1	164	69	1	5	152	91	5	8	170	99	16	17
NA_peak_125_G_Tb927.1.540	Tb927_01_v5.1	202125	204297	.	2173	5175	11674	6207	4745	1909	801	1300	50	97	63	50	122	137	131	110	87	43	60	90	62	18	44	65	3	14	27	9	0	7	7	4	0	9	9	7
NA_peak_126_G_Tb927.1.700	Tb927_01_v5.1	232088	232900	.	813	75	1310	877	747	408	313	124	1	0	2	0	2	63	30	0	3	31	16	0	0	36	13	2	18	0	0	1	16	0	0	7	4	0	1	3
NA_peak_129_G_Tb927.1.880	Tb927_01_v5.1	263923	264284	.	362	273	3651	1615	1569	36	34	40	9	16	7	10	276	0	5	188	138	0	2	95	120	0	0	84	1	0	1	0	0	2	0	0	0	6	0	0
NA_peak_132_G_Tb927.1.1080	Tb927_01_v5.1	307262	308351	.	1090	149	367	67	41	386	73	101	3	1	0	0	5	14	6	2	2	0	1	0	0	2	1	1	3	13	3	2	2	2	1	0	1	5	1	0
NA_peak_133_G_Tb927.1.1240	Tb927_01_v5.1	332011	334429	.	2419	267	248	272	149	6	1	2	3	3	2	2	5	5	4	2	7	5	10	2	1	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_134_R_Tb927.1.1240	Tb927_01_v5.1	332871	334053	.	1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_135_G_Tb927.1.1300	Tb927_01_v5.1	338910	339886	.	977	1503	2924	1569	421	4416	896	826	39	0	13	42	92	0	1	84	57	0	0	47	15	0	0	22	123	0	0	116	22	0	3	20	16	0	2	24
NA_peak_136_G_Tb927.1.1380	Tb927_01_v5.1	354078	355268	.	1191	59	149	234	29	97	23	58	0	0	4	0	0	6	6	1	0	5	4	1	0	0	1	0	0	2	1	0	1	0	0	0	1	0	1	1
NA_peak_137_G_Tb927.1.1380	Tb927_01_v5.1	355485	355978	.	494	44	483	448	460	0	2	2	2	4	5	0	0	34	31	0	0	23	30	0	1	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_138_G_Tb927.1.1500	Tb927_01_v5.1	377767	380618	.	2852	512	2767	2063	2868	142	24	18	9	3	8	6	59	5	10	45	39	2	6	45	52	2	9	45	1	3	2	0	0	0	0	0	0	0	0	0
NA_peak_139_G_Tb927.1.1500	Tb927_01_v5.1	384135	385280	.	1146	390	424	397	754	87	109	59	1	33	17	1	3	16	13	3	3	14	13	4	5	11	8	8	0	0	1	0	0	0	0	0	0	0	0	1
NA_peak_140_G_Tb927.1.1530	Tb927_01_v5.1	392106	393159	.	1054	5344	8071	6327	3287	8815	8308	6661	133	34	62	181	203	1	5	266	171	0	0	244	88	0	0	145	31	145	334	56	1	161	354	1	4	137	287	1
NA_peak_141_G_Tb927.1.1550	Tb927_01_v5.1	398969	399985	.	1017	203	541	394	494	420	230	235	3	6	2	0	17	0	6	11	12	0	3	13	11	0	1	17	5	9	3	6	0	8	0	1	1	11	7	0
NA_peak_142_G_Tb927.1.1610	Tb927_01_v5.1	411524	412947	.	1424	707	904	159	271	1724	909	1011	22	8	11	14	11	17	19	11	1	2	7	1	2	1	9	2	26	23	9	23	6	9	4	14	19	17	10	19
NA_peak_143_G_Tb927.1.1670	Tb927_01_v5.1	423550	424553	.	1004	260	305	335	62	271	112	210	9	3	7	9	5	6	6	12	1	3	0	16	1	0	0	3	4	3	4	7	1	0	0	0	3	3	2	0
NA_peak_144_G_Tb927.1.1680	Tb927_01_v5.1	425509	426620	.	1112	547	1067	465	238	649	608	645	3	8	16	1	26	2	1	29	10	2	2	10	5	1	1	6	3	13	19	2	0	12	22	0	2	11	24	0
NA_peak_145_G_Tb927.1.1710	Tb927_01_v5.1	436392	437751	.	1360	1033	2305	1857	1811	762	604	696	38	8	5	34	52	0	10	62	49	0	6	42	50	2	4	36	0	12	28	0	1	8	14	1	1	10	21	0
NA_peak_148_G_Tb927.1.1740	Tb927_01_v5.1	462739	463575	.	837	82	395	2	3	20	2	13	4	0	0	3	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_149_G_Tb927.1.1790	Tb927_01_v5.1	468758	469898	.	1141	6337	11123	7914	8124	584	880	462	160	42	70	250	294	68	215	333	222	63	191	197	205	69	162	222	3	0	11	19	13	0	20	1	5	0	12	11
NA_peak_150_G_Tb927.1.1820	Tb927_01_v5.1	473047	474317	.	1271	1565	5699	5400	7240	304	113	66	10	55	53	5	19	170	185	1	20	175	168	3	11	216	225	1	3	5	0	3	0	0	0	1	1	0	0	1
NA_peak_152_G_Tb927.1.1850	Tb927_01_v5.1	483341	484709	.	1369	613	2791	2585	2552	866	715	870	11	3	16	13	67	0	14	65	56	2	16	53	56	0	13	48	1	15	16	1	1	17	12	0	2	24	25	0
NA_peak_153_G_Tb927.1.1890	Tb927_01_v5.1	492437	493363	.	927	723	1571	1014	466	399	49	563	18	11	19	11	6	40	63	0	2	30	42	0	5	24	14	0	11	2	3	9	0	0	0	2	22	0	0	21
NA_peak_154_G_Tb927.1.1920	Tb927_01_v5.1	500013	500444	.	432	1813	2105	1804	1989	3988	3717	4042	47	77	0	3	36	103	92	0	16	98	107	0	12	125	115	0	128	99	0	12	173	21	0	23	160	65	0	24
NA_peak_158_G_Tb927.1.2110	Tb927_01_v5.1	538683	539401	.	719	507	1357	999	36	32	20	38	4	36	19	1	2	63	43	0	2	33	41	0	2	0	1	0	3	0	0	1	0	0	0	1	3	1	0	0
NA_peak_159_G_Tb927.1.2110	Tb927_01_v5.1	539573	540416	.	844	302	434	773	730	136	145	206	1	16	17	7	0	10	14	1	1	25	26	1	2	22	22	3	3	1	0	3	4	1	2	3	3	0	0	3
NA_peak_161_G_Tb927.1.2190	Tb927_01_v5.1	557554	558661	.	1108	2881	5175	1698	21	1929	2832	1542	1	83	98	0	2	110	153	0	1	49	63	0	0	0	3	0	9	42	58	15	3	58	77	3	4	30	45	3
NA_peak_162_G_Tb927.1.2190	Tb927_01_v5.1	559254	559981	.	728	2170	7672	9351	7819	280	399	388	0	88	140	3	2	254	392	1	1	305	426	0	0	263	368	1	0	0	2	16	2	0	0	6	0	0	2	18
NA_peak_163_G_Tb927.1.2260	Tb927_01_v5.1	566422	567564	.	1143	288	809	668	777	385	550	58	4	6	2	2	13	0	5	15	12	0	7	15	10	1	7	26	0	7	16	6	0	14	15	1	0	0	3	0
NA_peak_164_R_Tb927.1.2320	Tb927_01_v5.1	568975	569674	.	700	10	282	12	21	2	2	1	0	0	0	1	0	4	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
