# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "count_pca/count_pca.SAF" "-o" "count_pca/count_pca.txt" "BSF_01/res4/BSF_01/BSF_01_sorted.bam" "BSF_03/res4/BSF_03/BSF_03_sorted.bam" "BSF_04/res4/BSF_04/BSF_04_sorted.bam" "BSF_05/res4/BSF_05/BSF_05_sorted.bam" "BSF_06/res4/BSF_06/BSF_06_sorted.bam" "BSF_07/res4/BSF_07/BSF_07_sorted.bam" "BSF_08/res4/BSF_08/BSF_08_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	BSF_01/res4/BSF_01/BSF_01_sorted.bam	BSF_03/res4/BSF_03/BSF_03_sorted.bam	BSF_04/res4/BSF_04/BSF_04_sorted.bam	BSF_05/res4/BSF_05/BSF_05_sorted.bam	BSF_06/res4/BSF_06/BSF_06_sorted.bam	BSF_07/res4/BSF_07/BSF_07_sorted.bam	BSF_08/res4/BSF_08/BSF_08_sorted.bam
Tb927.9.13440	Tb927_09_v5.1	2127479	2128238	.	760	7	5	2	0	47	6	9
Tb927.9.13430	Tb927_09_v5.1	2121838	2125437	.	3600	1998	2115	466	261	1095	989	75
Tb927.9.13380	Tb927_09_v5.1	2118125	2119605	.	1481	621	1201	1203	1151	50	44	33
Tb927.9.13360	Tb927_09_v5.1	2108712	2111431	.	2720	786	1869	1989	1529	1111	786	974
Tb927.9.8905	Tb927_09_v5.1	1431368	1431516	.	149	4	2	1	1	5	4	13
Tb927.9.5170	Tb927_09_v5.1	916292	916513	.	222	703	481	298	148	1914	2235	2889
Tb927.9.5150	Tb927_09_v5.1	913293	914174	.	882	810	1305	861	822	639	449	615
Tb927.9.1390	Tb927_09_v5.1	345039	345293	.	255	1767	1000	270	236	7051	7270	5628
Tb927.9.1380	Tb927_09_v5.1	343504	343678	.	175	19	171	131	85	14	12	3
Tb927.9.1365	Tb927_09_v5.1	342404	342573	.	170	528	630	404	182	342	122	87
Tb927.9.1400	Tb927_09_v5.1	345804	345923	.	120	333	114	63	55	2613	2708	2126
Tb927.9.1440	Tb927_09_v5.1	352330	352474	.	145	1597	523	314	242	2059	1759	2273
Tb927.9.9860	Tb927_09_v5.1	1562335	1562465	.	131	70	93	22	7	72	104	18
Tb927.9.9820	Tb927_09_v5.1	1557917	1558098	.	182	696	43	23	9	996	225	779
Tb927.9.9780	Tb927_09_v5.1	1555442	1555584	.	143	97	223	65	42	68	18	26
Tb927.9.9730	Tb927_09_v5.1	1546640	1547448	.	809	3007	270	126	223	7524	10093	10910
Tb927.9.9710	Tb927_09_v5.1	1544286	1544457	.	172	309	15	5	3	42	51	19
Tb927.9.9960	Tb927_09_v5.1	1575950	1576404	.	455	131	236	504	75	354	380	263
Tb927.9.1340	Tb927_09_v5.1	335685	336173	.	489	1693	1284	1378	762	623	632	843
Tb927.9.1350	Tb927_09_v5.1	338779	339082	.	304	164	680	563	437	129	18	20
Tb927.9.1420	Tb927_09_v5.1	349597	349936	.	340	2023	1234	668	395	2668	2048	1723
Tb927.9.1510	Tb927_09_v5.1	357906	358684	.	779	549	246	168	140	706	649	685
Tb927.9.1520	Tb927_09_v5.1	361081	361376	.	296	1164	4754	4977	5756	41	61	63
Tb927.9.1530	Tb927_09_v5.1	361867	362157	.	291	41	5	2	3	2	1	4
Tb927.9.1560	Tb927_09_v5.1	366748	367174	.	427	1536	842	441	73	421	41	172
Tb927.9.1570	Tb927_09_v5.1	368743	370167	.	1425	1581	7866	9510	12546	809	688	834
Tb927.9.1590	Tb927_09_v5.1	371795	372434	.	640	44	15	5	8	178	34	142
Tb927.9.1600	Tb927_09_v5.1	373030	374225	.	1196	1318	232	71	65	727	549	766
Tb927.9.1640	Tb927_09_v5.1	380705	380954	.	250	95	21	7	5	531	350	367
Tb927.9.1660	Tb927_09_v5.1	382923	383077	.	155	1	0	0	1	1	1	1
Tb927.9.1670	Tb927_09_v5.1	384032	384481	.	450	1	0	0	2	4	0	1
Tb927.9.1680	Tb927_09_v5.1	386717	387106	.	390	197	28	34	3	161	92	88
Tb927.9.1700	Tb927_09_v5.1	388085	388869	.	785	5279	520	367	315	1731	1090	1105
Tb927.9.1710	Tb927_09_v5.1	390828	391188	.	361	273	291	5	12	109	322	138
Tb927.9.1750	Tb927_09_v5.1	397150	398214	.	1065	168	898	848	1102	974	902	143
Tb927.9.1770	Tb927_09_v5.1	412173	412832	.	660	139	151	59	46	299	269	46
Tb927.9.1780	Tb927_09_v5.1	422973	423747	.	775	714	1115	1299	303	945	1157	96
Tb927.9.1790	Tb927_09_v5.1	425767	425961	.	195	3	0	2	0	1	1	2
Tb927.9.1880	Tb927_09_v5.1	428106	428421	.	316	496	8203	7021	9019	1600	1958	6192
Tb927.9.1960	Tb927_09_v5.1	438398	438952	.	555	56	8	1	20	85	37	352
Tb927.9.1970	Tb927_09_v5.1	445492	445801	.	310	8	6	1	3	10	5	18
Tb927.9.2010	Tb927_09_v5.1	450717	452651	.	1935	58	427	262	96	185	97	104
Tb927.9.2055	Tb927_09_v5.1	461008	461197	.	190	972	388	326	900	1973	1801	2032
Tb927.9.2060	Tb927_09_v5.1	461718	462247	.	530	244	87	23	13	55	27	6
Tb927.9.2075	Tb927_09_v5.1	468004	468518	.	515	616	108	42	8	951	777	860
Tb927.9.2110	Tb927_09_v5.1	479551	479635	.	85	17	2	0	58	75	55	63
Tb927.9.2140	Tb927_09_v5.1	486807	487342	.	536	317	105	47	43	463	629	378
Tb927.9.2160	Tb927_09_v5.1	490754	491278	.	525	2137	1	4	5	840	859	907
Tb927.9.2220	Tb927_09_v5.1	494521	494575	.	55	0	88	41	122	23	41	34
Tb927.9.2210	Tb927_09_v5.1	492984	493083	.	100	0	0	1	1	1	0	1
Tb927.9.2240	Tb927_09_v5.1	498733	499095	.	363	84	92	65	210	135	126	202
Tb927.9.2250	Tb927_09_v5.1	501866	502385	.	520	2104	126	29	33	1492	1343	1282
Tb927.9.2270	Tb927_09_v5.1	505985	506219	.	235	1561	961	340	1	320	192	283
Tb927.9.2260	Tb927_09_v5.1	503913	504552	.	640	2295	1670	455	233	2103	369	1522
Tb927.9.2290	Tb927_09_v5.1	509250	509689	.	440	1022	1423	1446	1023	437	367	657
Tb927.9.2310	Tb927_09_v5.1	510497	511126	.	630	1481	238	110	16	1106	467	691
Tb927.9.2320	Tb927_09_v5.1	512860	514064	.	1205	155	253	76	49	199	141	114
Tb927.9.2400	Tb927_09_v5.1	521431	522080	.	650	856	2259	1320	1229	7	11	6
Tb927.9.2420	Tb927_09_v5.1	522891	523545	.	655	4465	2060	2268	1987	509	238	338
Tb927.9.2450	Tb927_09_v5.1	524381	525735	.	1355	2542	1515	280	13	9812	7849	8635
Tb927.9.2470	Tb927_09_v5.1	527310	528720	.	1411	360	2644	5326	7842	225	77	61
Tb927.9.2550	Tb927_09_v5.1	561506	562605	.	1100	3334	632	323	108	2985	1878	1861
Tb927.9.2600	Tb927_09_v5.1	576224	576423	.	200	5	0	3	2	4	3	1
Tb927.9.2630	Tb927_09_v5.1	580731	581190	.	460	2134	499	160	13	1067	1026	1664
Tb927.9.2700	Tb927_09_v5.1	592280	593199	.	920	3641	318	252	110	6353	6402	5330
Tb927.9.2760	Tb927_09_v5.1	601624	602934	.	1311	425	96	50	67	308	247	293
Tb927.9.2800	Tb927_09_v5.1	606595	607250	.	656	13	1	4	2	1	2	5
Tb927.9.2845	Tb927_09_v5.1	620624	621583	.	960	683	60	64	68	1072	1241	1349
Tb927.9.2855	Tb927_09_v5.1	626867	627746	.	880	567	41	59	51	855	981	1049
Tb927.9.2861	Tb927_09_v5.1	629946	630705	.	760	489	56	45	44	534	598	655
Tb927.9.2871	Tb927_09_v5.1	635845	636804	.	960	617	28	20	33	723	937	927
Tb927.9.2875	Tb927_09_v5.1	638984	639843	.	860	555	22	29	27	655	820	791
Tb927.9.2885	Tb927_09_v5.1	645109	645988	.	880	1309	68	74	76	1408	1702	1701
Tb927.9.2891	Tb927_09_v5.1	649310	650054	.	745	1866	138	156	188	2256	2550	2421
Tb927.9.2900	Tb927_09_v5.1	653365	653904	.	540	137	3027	2429	780	112	143	119
Tb927.9.2910	Tb927_09_v5.1	662485	662684	.	200	48	18	2	36	40	18	38
Tb927.9.2940	Tb927_09_v5.1	663524	664882	.	1359	929	116	9	39	2969	1779	2053
Tb927.9.3000	Tb927_09_v5.1	670060	670739	.	680	519	1052	584	280	815	657	497
Tb927.9.2990	Tb927_09_v5.1	668664	669074	.	411	380	118	33	42	90	11	52
Tb927.9.3010	Tb927_09_v5.1	671537	671976	.	440	519	892	597	249	764	620	450
Tb927.9.3030	Tb927_09_v5.1	672436	672635	.	200	109	58	16	15	286	88	100
Tb927.9.3080	Tb927_09_v5.1	674023	674702	.	680	197	333	135	50	334	245	262
Tb927.9.3120	Tb927_09_v5.1	677915	678327	.	413	161	139	20	46	589	252	383
Tb927.9.3130	Tb927_09_v5.1	681466	681905	.	440	42	56	56	111	56	27	44
Tb927.9.3280	Tb927_09_v5.1	694484	694603	.	120	12	58	4	22	20	12	15
Tb927.9.3340	Tb927_09_v5.1	697412	697446	.	35	49	4	1	3	102	63	87
Tb927.9.3390	Tb927_09_v5.1	702233	702456	.	224	893	96	32	31	1337	1022	1438
Tb927.9.3400	Tb927_09_v5.1	707243	707350	.	108	7	6	5	2	11	2	1
Tb927.9.3410	Tb927_09_v5.1	708050	708189	.	140	1115	378	116	22	1155	661	823
Tb927.9.3440	Tb927_09_v5.1	709449	710008	.	560	1147	594	211	76	1551	967	1193
Tb927.9.3460	Tb927_09_v5.1	712557	712701	.	145	246	11	5	6	128	170	188
Tb927.9.3480	Tb927_09_v5.1	714709	714783	.	75	1751	410	35	57	208	106	40
Tb927.9.3550	Tb927_09_v5.1	719171	719555	.	385	2879	7722	4143	1251	4535	1566	3520
Tb927.9.3580	Tb927_09_v5.1	723132	723421	.	290	51	5	2	4	12	19	9
Tb927.9.3600	Tb927_09_v5.1	725505	725769	.	265	334	121	57	6	104	76	89
Tb927.9.3620	Tb927_09_v5.1	726647	726936	.	290	1237	341	97	60	1790	1444	1975
Tb927.9.3650	Tb927_09_v5.1	732908	733217	.	310	1405	7	5	6	56	21	4
Tb927.9.3670	Tb927_09_v5.1	735039	735148	.	110	1042	159	53	44	1709	1278	1357
Tb927.9.3680	Tb927_09_v5.1	739562	739977	.	416	7472	108	37	28	100	100	41
Tb927.9.3750	Tb927_09_v5.1	748334	748495	.	162	1	2	2	2	25	5	33
Tb927.9.3800	Tb927_09_v5.1	754595	754794	.	200	1209	179	37	7	903	370	333
Tb927.9.3820	Tb927_09_v5.1	755856	756095	.	240	0	2	1	1	2	0	1
Tb927.9.3840	Tb927_09_v5.1	756713	756767	.	55	0	0	1	0	0	0	1
Tb927.9.3870	Tb927_09_v5.1	763101	763334	.	234	486	72	39	84	86	14	128
Tb927.9.3930	Tb927_09_v5.1	767590	768689	.	1100	7865	185	135	70	9794	8322	10313
Tb927.9.3970	Tb927_09_v5.1	769496	771087	.	1592	1418	386	343	394	1820	105	921
Tb927.9.4000	Tb927_09_v5.1	774077	775146	.	1070	8754	208	146	68	11300	9587	12011
Tb927.9.4040	Tb927_09_v5.1	775983	777604	.	1622	1169	444	373	480	1282	75	639
Tb927.9.4050	Tb927_09_v5.1	779393	779577	.	185	192	94	76	79	218	150	179
Tb927.9.4200	Tb927_09_v5.1	796523	797082	.	560	73	197	327	339	16	18	4
Tb927.9.4210	Tb927_09_v5.1	800029	800588	.	560	62	402	619	767	23	18	24
Tb927.9.4250	Tb927_09_v5.1	805918	806597	.	680	0	108	2	67	42	180	5
Tb927.9.4290	Tb927_09_v5.1	807714	807883	.	170	2	1	2	6	0	1	1
Tb927.9.4300	Tb927_09_v5.1	809974	810053	.	80	733	1594	1052	949	257	25	24
Tb927.9.4310	Tb927_09_v5.1	811366	813893	.	2528	5479	12755	9537	6540	1736	430	764
Tb927.9.4420	Tb927_09_v5.1	827376	827895	.	520	191	2211	2424	2569	572	288	435
Tb927.9.4450	Tb927_09_v5.1	831932	833911	.	1980	301	948	776	1168	41	25	7
Tb927.9.4500	Tb927_09_v5.1	836667	837112	.	446	1033	724	598	228	951	747	827
Tb927.9.4520	Tb927_09_v5.1	838969	839428	.	460	1227	2	4	2	1132	749	447
Tb927.9.4530	Tb927_09_v5.1	842857	843036	.	180	27	0	1	2	0	4	3
Tb927.9.4560	Tb927_09_v5.1	847798	848667	.	870	2101	1115	1369	2415	342	500	346
Tb927.9.4570	Tb927_09_v5.1	849621	850680	.	1060	1247	151	18	28	198	163	169
Tb927.9.4620	Tb927_09_v5.1	852425	852644	.	220	731	459	4	15	1662	1248	1356
