,Chromosome,Peak_Start,Peak_End,Peak_Name,UTR_Start,UTR_End,UTR_Gene_ID,UTR_Strand,UTR_Peak_overlap,Control_total,Control_F,Control_R,Treatment_total,Treatment_F,Treatment_R,Treatment_fraction_F,Treatment_fraction_R,Treatment_total_corrected_F,Treatment_total_corrected_R,download_seq,is_fully_contained
0,Tb927_01_v5.1,60141,61723,NA_peak_188,59853,60265,Tb927.1.120,-,124,4881,201,351,32261,1561,576,0.7304632662611137,0.2695367337388863,23565.475432849787,8695.52456715021,Tb927_01_v5.1:60141..60265:r,False
1,Tb927_01_v5.1,112710,113415,NA_peak_211,112744,112971,Tb927.1.280,+,227,2827,35,17,10330,164,35,0.8241206030150754,0.1758793969849246,8513.165829145728,1816.8341708542712,Tb927_01_v5.1:112744..112971:f,False
2,Tb927_01_v5.1,144650,144961,NA_peak_228,144595,144725,Tb927.1.380,-,75,1985,45,23,6948,28,185,0.13145539906103287,0.8685446009389671,913.3521126760564,6034.647887323944,Tb927_01_v5.1:144650..144725:r,False
3,Tb927_01_v5.1,149354,149874,NA_peak_231,148205,151108,Tb927.1.400,+,520,915,11,13,4968,40,35,0.5333333333333333,0.4666666666666667,2649.6,2318.4,Tb927_01_v5.1:149354..149874:f,True
4,Tb927_01_v5.1,150298,150742,NA_peak_232,148205,151108,Tb927.1.400,+,444,1241,70,34,5080,137,135,0.5036764705882353,0.4963235294117647,2558.676470588235,2521.323529411765,Tb927_01_v5.1:150298..150742:f,True
5,Tb927_01_v5.1,186068,188200,NA_peak_255,186030,187218,Tb927.1.480,+,1150,803,35,6,6706,39,54,0.41935483870967744,0.5806451612903225,2812.193548387097,3893.806451612903,Tb927_01_v5.1:186068..187218:f,False
6,Tb927_01_v5.1,190391,191332,NA_peak_257,190086,190499,Tb927.1.490,+,108,4160,14,109,20332,52,526,0.08996539792387544,0.9100346020761245,1829.1764705882354,18502.823529411762,Tb927_01_v5.1:190391..190499:f,False
7,Tb927_01_v5.1,212303,213619,NA_peak_262,211572,212454,Tb927.1.580,-,151,763,79,62,9415,121,640,0.1590013140604468,0.8409986859395532,1496.9973718791066,7918.002628120893,Tb927_01_v5.1:212303..212454:r,False
8,Tb927_01_v5.1,216015,217313,NA_peak_263,214185,216163,Tb927.1.600,-,148,707,8,40,7578,78,271,0.22349570200573066,0.7765042979942693,1693.650429799427,5884.349570200573,Tb927_01_v5.1:216015..216163:r,False
9,Tb927_01_v5.1,218980,219871,NA_peak_264,219177,219567,Tb927.1.630,-,390,110,1,8,802,13,50,0.20634920634920634,0.7936507936507937,165.4920634920635,636.5079365079365,Tb927_01_v5.1:219177..219567:r,False
10,Tb927_01_v5.1,225877,226228,NA_peak_267,225813,226020,Tb927.1.650,-,143,2124,67,86,7197,267,149,0.6418269230769231,0.35817307692307687,4619.228365384616,2577.7716346153843,Tb927_01_v5.1:225877..226020:r,False
11,Tb927_01_v5.1,230689,231637,NA_peak_269,230314,230693,Tb927.1.690,-,4,52,0,2,581,3,13,0.1875,0.8125,108.9375,472.0625,Tb927_01_v5.1:230689..230693:r,False
12,Tb927_01_v5.1,232035,232934,NA_peak_270,231675,232503,Tb927.1.700,-,468,77,1,2,847,50,1,0.9803921568627451,0.019607843137254943,830.3921568627451,16.607843137254935,Tb927_01_v5.1:232035..232503:r,False
13,Tb927_01_v5.1,237298,238299,NA_peak_272,237632,237833,Tb927.1.730,-,201,216,8,13,2056,82,15,0.845360824742268,0.15463917525773196,1738.0618556701031,317.93814432989694,Tb927_01_v5.1:237632..237833:r,False
14,Tb927_01_v5.1,259379,260139,NA_peak_278,259833,260023,Tb927.1.840,-,190,2149,115,129,11290,706,2,0.9971751412429378,0.0028248587570621764,11258.107344632768,31.89265536723197,Tb927_01_v5.1:259833..260023:r,False
15,Tb927_01_v5.1,319897,321727,NA_peak_286,321249,321436,Tb927.1.1160,+,187,1404,27,38,10131,156,196,0.4431818181818182,0.5568181818181819,4489.875,5641.125000000001,Tb927_01_v5.1:321249..321436:f,False
16,Tb927_01_v5.1,325379,326269,NA_peak_287,325989,326379,Tb927.1.1210,+,280,865,35,12,3968,123,65,0.6542553191489362,0.3457446808510638,2596.0851063829787,1371.914893617021,Tb927_01_v5.1:325989..326269:f,False
17,Tb927_01_v5.1,326452,327443,NA_peak_288,327396,327534,Tb927.1.1220,+,47,1748,41,38,7957,131,160,0.45017182130584193,0.5498281786941581,3582.0171821305844,4374.982817869416,Tb927_01_v5.1:327396..327443:f,False
18,Tb927_01_v5.1,328928,330517,NA_peak_289,329106,329839,Tb927.1.1230,+,733,381,7,19,6992,13,287,0.043333333333333335,0.9566666666666667,302.9866666666667,6689.013333333333,Tb927_01_v5.1:329106..329839:f,False
19,Tb927_01_v5.1,335310,336868,NA_peak_290,335989,337930,Tb927.1.1270,+,879,1280,100,6,9414,483,35,0.9324324324324325,0.06756756756756754,8777.918918918918,636.0810810810808,Tb927_01_v5.1:335989..336868:f,False
20,Tb927_01_v5.1,338897,339922,NA_peak_291,339022,339333,Tb927.1.1300,+,311,1514,81,13,6156,326,5,0.9848942598187311,0.015105740181268867,6063.0090634441085,92.99093655589115,Tb927_01_v5.1:339022..339333:f,False
