chr - Tb927_01_v5.1 1 0 1064671 grey
chr - Tb927_02_v5.1 2 0 1193947 grey
chr - Tb927_03_v5.1 3 0 1653224 grey
chr - Tb927_04_v5.1 4 0 1590431 grey
chr - Tb927_05_v5.1 5 0 1802302 grey
chr - Tb927_06_v5.1 6 0 1618914 grey
chr - Tb927_07_v5.1 7 0 2205232 grey
chr - Tb927_08_v5.1 8 0 2481189 grey
chr - Tb927_09_v5.1 9 0 3542884 grey
chr - Tb927_10_v5.1 10 0 4144374 grey
chr - Tb927_11_v5.1 11 0 5223312 grey
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 0 9688 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 9689 23833 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 23834 118321 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 118322 140723 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 140724 151835 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 151836 174641 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 174642 229528 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 229529 249150 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 249151 250914 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 250915 260222 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 260223 270435 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 270436 278561 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 278562 315627 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 315628 386513 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 386514 519544 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 519545 619141 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 619142 905339 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 905340 962025 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 962026 1000402 black
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 1000403 1170245 white
band Tb927_02_v5.1 Tb927_02_v5.1_band Tb927_02_v5.1_band 1170246 1193947 black

band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 0 116509 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 116510 147062 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 147063 149269 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 149270 206153 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 206154 388092 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 388093 587851 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 587852 629820 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 629821 902859 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 902860 967379 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 967380 977880 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 977881 1124705 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1124706 1233522 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1233523 1233808 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1233809 1370333 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1370334 1372189 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1372190 1376016 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1376017 1603689 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1603690 1613226 black
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1613227 1637898 white
band Tb927_03_v5.1 Tb927_03_v5.1_band Tb927_03_v5.1_band 1637899 1653224 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 0 17940 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 17941 31666 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 31667 32468 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 32469 61568 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 61569 68502 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 68503 72063 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 72064 105004 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 105005 114230 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 114231 117597 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 117598 129145 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 129146 154640 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 154641 156670 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 156671 177113 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 177114 186372 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 186373 274457 black
