contig	start	end	peak_id	status	new_start	new_end
Tb927_01_v5.1	4445	4941	NA_peak_176	R		
Tb927_01_v5.1	34851	37561	NA_peak_177	R		
Tb927_01_v5.1	37892	39145	NA_peak_178	R		
Tb927_01_v5.1	39346	39752	NA_peak_179	R		
Tb927_01_v5.1	44993	45815	NA_peak_180	R		
Tb927_01_v5.1	46529	47440	NA_peak_181	R		
Tb927_01_v5.1	47875	48727	NA_peak_182	R		
Tb927_01_v5.1	48861	50096	NA_peak_183	R		
Tb927_01_v5.1	50130	51089	NA_peak_184	R		
Tb927_01_v5.1	52079	53493	NA_peak_185	R		
Tb927_01_v5.1	54048	54746	NA_peak_186	R		
Tb927_01_v5.1	55781	56538	NA_peak_187	R		
Tb927_01_v5.1	60141	61723	NA_peak_188	R		
Tb927_01_v5.1	62655	63162	NA_peak_189	R		
Tb927_01_v5.1	63172	64249	NA_peak_190	R		
Tb927_01_v5.1	66911	67948	NA_peak_191	R		
Tb927_01_v5.1	73174	73573	NA_peak_192	R		
Tb927_01_v5.1	73685	74374	NA_peak_193	R		
Tb927_01_v5.1	74410	74724	NA_peak_194	R		
Tb927_01_v5.1	76866	79969	NA_peak_195	R		
Tb927_01_v5.1	80155	80468	NA_peak_196	R		
Tb927_01_v5.1	82246	82548	NA_peak_197	R		
Tb927_01_v5.1	82795	83543	NA_peak_198	R		
Tb927_01_v5.1	83704	84131	NA_peak_199	R		
Tb927_01_v5.1	84687	85009	NA_peak_200	R		
Tb927_01_v5.1	86600	87011	NA_peak_201	R		
Tb927_01_v5.1	93009	94052	NA_peak_202	R		
Tb927_01_v5.1	94964	96536	NA_peak_203	R		
Tb927_01_v5.1	97913	100041	NA_peak_204	R		
Tb927_01_v5.1	100057	101203	NA_peak_205	R		
Tb927_01_v5.1	104654	105469	NA_peak_206	R		
Tb927_01_v5.1	106240	106618	NA_peak_207	G	106193	107797
Tb927_01_v5.1	109522	109982	NA_peak_208	R		
Tb927_01_v5.1	110443	110774	NA_peak_209	R		
Tb927_01_v5.1	111613	111962	NA_peak_210	R		
Tb927_01_v5.1	112710	113415	NA_peak_211	R		
Tb927_01_v5.1	114152	114912	NA_peak_212	R		
Tb927_01_v5.1	115047	115541	NA_peak_213	R		
Tb927_01_v5.1	115568	115869	NA_peak_214	R		
Tb927_01_v5.1	121224	122137	NA_peak_215	R		
Tb927_01_v5.1	123996	124520	NA_peak_216	G	123997	125554
Tb927_01_v5.1	124707	125545	NA_peak_217	R		
Tb927_01_v5.1	126458	126877	NA_peak_218	G	126452	128039
Tb927_01_v5.1	127186	127922	NA_peak_219	R		
Tb927_01_v5.1	128926	129376	NA_peak_220	G	128932	129894
Tb927_01_v5.1	132929	133279	NA_peak_221	R	132301	133264
Tb927_01_v5.1	134158	134653	NA_peak_222	R		
Tb927_01_v5.1	135512	136731	NA_peak_223	R		
Tb927_01_v5.1	138671	139432	NA_peak_224	R		
Tb927_01_v5.1	139513	140305	NA_peak_225	R		
Tb927_01_v5.1	142083	142466	NA_peak_226	R		
Tb927_01_v5.1	142618	143469	NA_peak_227	R		
Tb927_01_v5.1	144650	144961	NA_peak_228	R		
Tb927_01_v5.1	145763	146108	NA_peak_229	R	145767	146613
Tb927_01_v5.1	147605	148103	NA_peak_230	R		
Tb927_01_v5.1	149354	149874	NA_peak_231	R		
Tb927_01_v5.1	150298	150742	NA_peak_232	R		
Tb927_01_v5.1	152355	153289	NA_peak_233	R		
Tb927_01_v5.1	153452	153834	NA_peak_234	R		
Tb927_01_v5.1	153911	154677	NA_peak_235	R		
Tb927_01_v5.1	155762	156202	NA_peak_236	R		
Tb927_01_v5.1	158004	158313	NA_peak_237	G	157569	159019
Tb927_01_v5.1	159779	160079	NA_peak_238	R		
Tb927_01_v5.1	161976	163475	NA_peak_239	G	161894	163451
Tb927_01_v5.1	164472	164819	NA_peak_240	G	164355	165937
Tb927_01_v5.1	164899	165868	NA_peak_241	R		
Tb927_01_v5.1	166923	167364	NA_peak_242	R		
Tb927_01_v5.1	167737	169072	NA_peak_243	G		
Tb927_01_v5.1	169976	171487	NA_peak_244	G		
Tb927_01_v5.1	174081	174582	NA_peak_245	R		
Tb927_01_v5.1	174696	175482	NA_peak_246	R		
Tb927_01_v5.1	176020	176557	NA_peak_247	R		
Tb927_01_v5.1	177514	177891	NA_peak_248	R		
Tb927_01_v5.1	178390	179001	NA_peak_249	R		
Tb927_01_v5.1	181062	181419	NA_peak_250	R		
Tb927_01_v5.1	181744	182198	NA_peak_251	R		
Tb927_01_v5.1	182348	182767	NA_peak_252	R		
Tb927_01_v5.1	183064	183686	NA_peak_253	R		
Tb927_01_v5.1	184218	184605	NA_peak_254	R		
Tb927_01_v5.1	186068	188200	NA_peak_255	G	185962	188900
Tb927_01_v5.1	188465	188938	NA_peak_256	R		
Tb927_01_v5.1	190391	191332	NA_peak_257	G	190120	191359
Tb927_01_v5.1	192753	194296	NA_peak_258	G		
Tb927_01_v5.1	195271	196376	NA_peak_259	G		
Tb927_01_v5.1	206246	206648	NA_peak_260	R		
Tb927_01_v5.1	207621	208003	NA_peak_261	R		
Tb927_01_v5.1	212303	213619	NA_peak_262	G		
Tb927_01_v5.1	216015	217313	NA_peak_263	G		
Tb927_01_v5.1	218980	219871	NA_peak_264	G		
Tb927_01_v5.1	221106	222847	NA_peak_265	G		
Tb927_01_v5.1	223104	223679	NA_peak_266	G	222974	226279
Tb927_01_v5.1	225877	226228	NA_peak_267	R		
Tb927_01_v5.1	228368	229231	NA_peak_268	G		
Tb927_01_v5.1	230689	231637	NA_peak_269	G	230418	231626
Tb927_01_v5.1	232035	232934	NA_peak_270	G		
Tb927_01_v5.1	234188	234553	NA_peak_271	G		
Tb927_01_v5.1	237298	238299	NA_peak_272	G		
Tb927_01_v5.1	239569	240204	NA_peak_273	G	239430	
Tb927_01_v5.1	240436	241487	NA_peak_274	G		
Tb927_01_v5.1	244433	245167	NA_peak_275	G		
Tb927_01_v5.1	251355	252333	NA_peak_276	G		
Tb927_01_v5.1	257085	258465	NA_peak_277	G		
Tb927_01_v5.1	259379	260139	NA_peak_278	G		
Tb927_01_v5.1	265198	266398	NA_peak_279	G		
Tb927_01_v5.1	267089	267483	NA_peak_280	G		268005
Tb927_01_v5.1	271211	271728	NA_peak_281	G	270037	
Tb927_01_v5.1	281865	282639	NA_peak_282	R		
Tb927_01_v5.1	287009	288656	NA_peak_283	G		
Tb927_01_v5.1	301128	302554	NA_peak_284	C		
Tb927_01_v5.1	303999	304346	NA_peak_285	G		304844
Tb927_01_v5.1	319897	321727	NA_peak_286	G		
Tb927_01_v5.1	325379	326269	NA_peak_287	G	325381	327459
Tb927_01_v5.1	326452	327443	NA_peak_288	R		
Tb927_01_v5.1	328928	330517	NA_peak_289	G		
Tb927_01_v5.1	335310	336868	NA_peak_290	G		
Tb927_01_v5.1	338897	339922	NA_peak_291	G		
Tb927_01_v5.1	341064	342141	NA_peak_292	G		
Tb927_01_v5.1	343582	344722	NA_peak_293	G		
Tb927_01_v5.1	349939	350572	NA_peak_294	G		351005
Tb927_01_v5.1	358543	359378	NA_peak_295	G	357569	
Tb927_01_v5.1	364954	366701	NA_peak_296	G		
Tb927_01_v5.1	381876	382621	NA_peak_297	G		382971
Tb927_01_v5.1	386762	388997	NA_peak_298	G		
Tb927_01_v5.1	392106	392450	NA_peak_299	G	392061	393233
Tb927_01_v5.1	392569	393209	NA_peak_300	R		
Tb927_01_v5.1	397460	398317	NA_peak_301	G		
Tb927_01_v5.1	399456	399870	NA_peak_302	G	398886	
Tb927_01_v5.1	404682	405549	NA_peak_303	G		
Tb927_01_v5.1	411473	413023	NA_peak_304	G		
Tb927_01_v5.1	424603	425490	NA_peak_305	G		
Tb927_01_v5.1	429179	430048	NA_peak_306	G		
Tb927_01_v5.1	433051	434188	NA_peak_307	G		
Tb927_01_v5.1	441127	441956	NA_peak_308	G		
Tb927_01_v5.1	475174	476438	NA_peak_309	G		477473
Tb927_01_v5.1	481765	482616	NA_peak_310	G		
Tb927_01_v5.1	483665	484231	NA_peak_311	G	483296	484730
Tb927_01_v5.1	494152	495013	NA_peak_312	G		
Tb927_01_v5.1	499964	500876	NA_peak_313	G		
Tb927_01_v5.1	504385	505273	NA_peak_314	G		
Tb927_01_v5.1	505423	507212	NA_peak_315	G		
Tb927_01_v5.1	507944	509660	NA_peak_316	G	507328	
Tb927_01_v5.1	516690	517680	NA_peak_317	G		517896
Tb927_01_v5.1	520650	521595	NA_peak_318	G		
Tb927_01_v5.1	522411	522953	NA_peak_319	G	522350	524664
Tb927_01_v5.1	523422	523937	NA_peak_320	R		
Tb927_01_v5.1	524005	524537	NA_peak_321	R		
Tb927_01_v5.1	526870	528401	NA_peak_322	G		
Tb927_01_v5.1	542496	543428	NA_peak_323	G		
Tb927_01_v5.1	544672	545263	NA_peak_324	G	543429	545959
Tb927_01_v5.1	545492	545857	NA_peak_325	R		
Tb927_01_v5.1	552661	554977	NA_peak_326	G		
Tb927_01_v5.1	564747	565226	NA_peak_327	G	564430	565351
Tb927_01_v5.1	567135	567467	NA_peak_328	G	566386	
Tb927_01_v5.1	570883	571283	NA_peak_329	G		571731
Tb927_01_v5.1	574525	574966	NA_peak_330	G		
Tb927_01_v5.1	578167	578579	NA_peak_331	G		
Tb927_01_v5.1	581809	582224	NA_peak_332	G		
Tb927_01_v5.1	585660	586669	NA_peak_333	G		
Tb927_01_v5.1	594044	594559	NA_peak_334	R		
Tb927_01_v5.1	595317	595756	NA_peak_335	R		
Tb927_01_v5.1	595765	596629	NA_peak_336	R		
Tb927_01_v5.1	598495	598819	NA_peak_337	R		
Tb927_01_v5.1	599369	599676	NA_peak_338	R		
Tb927_01_v5.1	599992	600598	NA_peak_339	R		
Tb927_01_v5.1	601664	602121	NA_peak_340	R		
Tb927_01_v5.1	602135	602487	NA_peak_341	R		
Tb927_01_v5.1	608377	609312	NA_peak_342	G		
Tb927_01_v5.1	622624	624084	NA_peak_343	G		
Tb927_01_v5.1	625319	625885	NA_peak_344	G	624312	626819
Tb927_01_v5.1	626142	626770	NA_peak_345	R		
Tb927_01_v5.1	637027	637871	NA_peak_346	G		
Tb927_01_v5.1	639991	640692	NA_peak_347	G	639995	641298
Tb927_01_v5.1	643986	644516	NA_peak_348	G	643990	645296
Tb927_01_v5.1	644597	644918	NA_peak_349	R		
Tb927_01_v5.1	648018	648512	NA_peak_350	G	647988	649299
Tb927_01_v5.1	648582	649005	NA_peak_351	R		
Tb927_01_v5.1	650982	651470	NA_peak_352	G		651936
Tb927_01_v5.1	661257	661865	NA_peak_353	R		
Tb927_01_v5.1	663366	663717	NA_peak_354	G	663370	664676
Tb927_01_v5.1	663962	664661	NA_peak_355	R		
Tb927_01_v5.1	665380	666458	NA_peak_356	G		
Tb927_01_v5.1	671511	672181	NA_peak_357	G	671441	672593
Tb927_01_v5.1	673176	674464	NA_peak_358	G		
Tb927_01_v5.1	676934	677894	NA_peak_359	G		
Tb927_01_v5.1	677938	678991	NA_peak_360	G		
Tb927_01_v5.1	683308	684752	NA_peak_361	G		
Tb927_01_v5.1	690470	690839	NA_peak_362	G	690317	691414
Tb927_01_v5.1	692932	693264	NA_peak_363	G	692377	693377
Tb927_01_v5.1	695595	696023	NA_peak_364	G	695481	696425
Tb927_01_v5.1	700941	701536	NA_peak_365	G		702171
Tb927_01_v5.1	701795	702181	NA_peak_366	R		
Tb927_01_v5.1	704104	705246	NA_peak_367	G		
Tb927_01_v5.1	711669	712403	NA_peak_368	G		
Tb927_01_v5.1	712584	713478	NA_peak_369	G		713628
Tb927_01_v5.1	717098	717647	NA_peak_370	G		718036
Tb927_01_v5.1	727574	728267	NA_peak_371	G	727327	728789
Tb927_01_v5.1	729056	730230	NA_peak_372	G		
Tb927_01_v5.1	731032	733066	NA_peak_373	G		
Tb927_01_v5.1	734433	736920	NA_peak_374	G		737034
Tb927_01_v5.1	737886	738874	NA_peak_375	G		
Tb927_01_v5.1	745540	746190	NA_peak_376	G		747381
Tb927_01_v5.1	756440	757952	NA_peak_377	G		
Tb927_01_v5.1	758196	758595	NA_peak_378	G	756444	
Tb927_01_v5.1	767619	769022	NA_peak_379	G		
Tb927_01_v5.1	772691	773824	NA_peak_380	G		774210
Tb927_01_v5.1	775167	775567	NA_peak_381	G	775081	776409
Tb927_01_v5.1	775618	776035	NA_peak_382	R		
Tb927_01_v5.1	780288	780729	NA_peak_383	R		
Tb927_01_v5.1	784592	785121	NA_peak_384	R		
Tb927_01_v5.1	787245	788188	NA_peak_385	G		
Tb927_01_v5.1	790225	790826	NA_peak_386	G		
Tb927_01_v5.1	796450	797088	NA_peak_387	G	796392	799081
Tb927_01_v5.1	798106	798942	NA_peak_388	R		
Tb927_01_v5.1	799184	801021	NA_peak_389	G		
Tb927_01_v5.1	801989	803143	NA_peak_390	G		
Tb927_01_v5.1	804883	806787	NA_peak_391	G		
Tb927_01_v5.1	807150	807548	NA_peak_392	G		
Tb927_01_v5.1	811218	811884	NA_peak_393	G		
Tb927_01_v5.1	818821	821073	NA_peak_394	G		
Tb927_01_v5.1	827028	827562	NA_peak_395	G	824583	
Tb927_01_v5.1	829879	831022	NA_peak_396	G		
Tb927_01_v5.1	831781	832151	NA_peak_397	G		832499
Tb927_01_v5.1	833122	834118	NA_peak_398	G		
Tb927_01_v5.1	838769	840881	NA_peak_399	G		
Tb927_01_v5.1	845904	846528	NA_peak_400	G	844650	846666
