Tb927.9.13440	Tb927_09_v5.1:2132976..2133162:r	Tb927_09_v5.1:2127479..2128238:r
Tb927.9.13430	Tb927_09_v5.1:2126776..2127309:r	Tb927_09_v5.1:2121838..2125437:r
Tb927.9.13380	Tb927_09_v5.1:2120866..2121171:r	Tb927_09_v5.1:2118125..2119605:r
Tb927.9.13360	Tb927_09_v5.1:2117171..2117516:r	Tb927_09_v5.1:2108712..2111431:r
Tb927.9.8905	Tb927_09_v5.1:1431796..1431807:r	Tb927_09_v5.1:1431368..1431516:r
Tb927.9.5170	Tb927_09_v5.1:914773..914875	Tb927_09_v5.1:916292..916513
Tb927.9.5150	Tb927_09_v5.1:912889..912911	Tb927_09_v5.1:913293..914174
Tb927.9.1390	Tb927_09_v5.1:345543..345674:r	Tb927_09_v5.1:345039..345293:r
Tb927.9.1380	Tb927_09_v5.1:344819..344898:r	Tb927_09_v5.1:343504..343678:r
Tb927.9.1365	Tb927_09_v5.1:342802..342817:r	Tb927_09_v5.1:342404..342573:r
Tb927.9.1400	Tb927_09_v5.1:347295..347315:r	Tb927_09_v5.1:345804..345923:r
Tb927.9.1440	Tb927_09_v5.1:354929..355102:r	Tb927_09_v5.1:352330..352474:r
Tb927.9.9860	Tb927_09_v5.1:1564629..1564642:r	Tb927_09_v5.1:1562335..1562465:r
Tb927.9.9820	Tb927_09_v5.1:1559167..1559215:r	Tb927_09_v5.1:1557917..1558098:r
Tb927.9.9780	Tb927_09_v5.1:1556650..1556686:r	Tb927_09_v5.1:1555442..1555584:r
Tb927.9.9730	Tb927_09_v5.1:1548649..1548657:r	Tb927_09_v5.1:1546640..1547448:r
Tb927.9.9710	Tb927_09_v5.1:1545466..1545507:r	Tb927_09_v5.1:1544286..1544457:r
Tb927.9.9960	Tb927_09_v5.1:1578022..1578039:r	Tb927_09_v5.1:1575950..1576404:r
Tb927.9.1340	Tb927_09_v5.1:338616..338627:r	Tb927_09_v5.1:335685..336173:r
Tb927.9.1350	Tb927_09_v5.1:340697..340763:r	Tb927_09_v5.1:338779..339082:r
Tb927.9.1420	Tb927_09_v5.1:350864..350873:r	Tb927_09_v5.1:349597..349936:r
Tb927.9.1510	Tb927_09_v5.1:360179..360250:r	Tb927_09_v5.1:357906..358684:r
Tb927.9.1520	Tb927_09_v5.1:361635..361750:r	Tb927_09_v5.1:361081..361376:r
Tb927.9.1530	Tb927_09_v5.1:364363..364387:r	Tb927_09_v5.1:361867..362157:r
Tb927.9.1560	Tb927_09_v5.1:368570..368598:r	Tb927_09_v5.1:366748..367174:r
Tb927.9.1570	Tb927_09_v5.1:371635..371644:r	Tb927_09_v5.1:368743..370167:r
Tb927.9.1590	Tb927_09_v5.1:372862..372894:r	Tb927_09_v5.1:371795..372434:r
Tb927.9.1600	Tb927_09_v5.1:379044..379210:r	Tb927_09_v5.1:373030..374225:r
Tb927.9.1640	Tb927_09_v5.1:381348..381400:r	Tb927_09_v5.1:380705..380954:r
Tb927.9.1660	Tb927_09_v5.1:383813..383878:r	Tb927_09_v5.1:382923..383077:r
Tb927.9.1670	Tb927_09_v5.1:386435..386604:r	Tb927_09_v5.1:384032..384481:r
Tb927.9.1680	Tb927_09_v5.1:387941..387957:r	Tb927_09_v5.1:386717..387106:r
Tb927.9.1700	Tb927_09_v5.1:390676..390687:r	Tb927_09_v5.1:388085..388869:r
Tb927.9.1710	Tb927_09_v5.1:392587..392866:r	Tb927_09_v5.1:390828..391188:r
Tb927.9.1750	Tb927_09_v5.1:411655..412023:r	Tb927_09_v5.1:397150..398214:r
Tb927.9.1770	Tb927_09_v5.1:421767..422145:r	Tb927_09_v5.1:412173..412832:r
Tb927.9.1780	Tb927_09_v5.1:425632..425654:r	Tb927_09_v5.1:422973..423747:r
Tb927.9.1790	Tb927_09_v5.1:426691..426715:r	Tb927_09_v5.1:425767..425961:r
Tb927.9.1880	Tb927_09_v5.1:430132..430380:r	Tb927_09_v5.1:428106..428421:r
Tb927.9.1960	Tb927_09_v5.1:439775..439937:r	Tb927_09_v5.1:438398..438952:r
Tb927.9.1970	Tb927_09_v5.1:447731..447733:r	Tb927_09_v5.1:445492..445801:r
Tb927.9.2010	Tb927_09_v5.1:454044..454569:r	Tb927_09_v5.1:450717..452651:r
Tb927.9.2055	Tb927_09_v5.1:461525..461561:r	Tb927_09_v5.1:461008..461197:r
Tb927.9.2060	Tb927_09_v5.1:463310..463342:r	Tb927_09_v5.1:461718..462247:r
