# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "merge_macs_BSF_G/merge_macs_BSF_G.SAF" "-o" "merge_macs_BSF_G/merge_macs_BSF_G_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_1	11L3_v3	248	660	.	413	207	455	363	310	0	2	5	3	0	2	17	1	0	3	10	1	0	0	16	2
NA_peak_2	11L3_v3	770	1914	.	1145	1117	4607	5774	3073	29	2	18	29	95	5	25	92	112	2	16	135	58	8	22	83
NA_peak_3	11L3_v3	27809	28704	.	896	22	122	74	72	0	0	1	0	6	0	1	5	2	0	0	1	6	0	1	5
NA_peak_4	11L3_v3	43681	44162	.	482	269	888	749	1165	0	0	4	25	0	0	45	20	0	0	35	19	3	0	71	25
NA_peak_5	11L3_v3	50638	50964	.	327	107	143	113	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_6	11L3_v3	50975	51514	.	540	105	163	145	153	0	0	2	0	0	0	0	3	0	0	2	3	0	0	1	9
NA_peak_7	11L3_v3	52360	53489	.	1130	22	97	65	114	1	0	0	1	0	3	3	2	1	1	1	0	3	2	0	1
NA_peak_8	11L3_v3	55134	56732	.	1599	50	291	133	162	2	1	0	0	18	0	0	11	4	1	0	2	2	5	2	3
NA_peak_9	11L3_v3	58961	59515	.	555	1051	1547	1004	1145	22	35	28	15	2	53	36	0	1	37	24	0	2	46	24	0
NA_peak_10	11L3_v3	59964	60927	.	964	679	1575	1718	1640	7	3	4	18	21	2	12	28	19	4	18	34	19	0	14	30
NA_peak_11	11L3_v3	62897	63303	.	407	897	1079	879	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NA_peak_12	5K5_v5.1	114	474	.	361	953	1415	795	1085	8	65	0	0	61	30	0	0	32	16	0	0	50	24	0	0
NA_peak_13	5K5_v5.1	6270	7411	.	1142	161	472	294	319	2	4	9	1	9	3	1	9	0	1	1	6	1	3	3	3
NA_peak_14	5K5_v5.1	14015	15522	.	1508	470	4769	2108	671	1	18	9	5	0	104	13	9	0	66	5	17	0	23	18	5
NA_peak_15	5K5_v5.1	17066	18297	.	1232	62	590	208	277	0	0	2	0	0	0	10	17	0	0	1	4	0	0	4	8
NA_peak_16	5K5_v5.1	20892	21863	.	972	562	1152	1130	1098	1	0	24	6	0	0	14	20	0	0	9	31	0	0	17	30
NA_peak_17	5K5_v5.1	26398	27081	.	684	7	58	225	97	1	0	0	1	2	2	1	0	0	0	0	10	0	2	0	5
NA_peak_18	5K5_v5.1	28201	29262	.	1062	2	15	78	32	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	3
NA_peak_19	5K5_v5.1	30939	31885	.	947	1788	5665	1154	5399	0	62	92	4	1	129	170	2	1	27	24	0	10	132	180	2
NA_peak_20	5K5_v5.1	38453	39045	.	593	969	1312	1048	1622	44	2	0	8	36	6	0	4	18	10	0	4	37	9	1	14
NA_peak_21	5K5_v5.1	41304	42911	.	1608	2840	9890	8518	9592	30	130	49	0	5	190	111	0	4	184	105	1	8	200	113	3
NA_peak_22	5K5_v5.1	46294	47615	.	1322	928	2218	1336	1558	20	12	11	31	37	15	11	57	20	5	4	37	21	14	16	26
NA_peak_23	5K5_v5.1	48944	49452	.	509	758	1822	1667	1880	33	33	41	0	0	4	120	0	10	5	109	0	1	43	118	1
NA_peak_24	5K5_v5.1	52835	53476	.	642	449	1065	609	705	19	15	0	0	35	15	0	0	21	8	0	0	24	11	0	0
NA_peak_25	5K5_v5.1	53514	54193	.	680	601	1442	831	1029	0	2	11	45	0	2	12	70	0	0	5	48	0	0	17	33
NA_peak_26	5K5_v5.1	56457	57342	.	886	223	787	404	794	2	5	7	4	21	8	8	9	9	6	8	11	22	12	7	15
NA_peak_27	5K5_v5.1	58301	58742	.	442	21	103	168	99	0	0	0	2	0	0	9	4	0	0	14	9	0	0	4	1
NA_peak_28	5K5_v5.1	58870	59521	.	652	22	54	59	44	0	0	0	0	1	0	0	0	6	0	0	0	3	0	0	0
NA_peak_29	5K5_v5.1	64148	65686	.	1539	222	1067	1308	730	4	2	1	2	14	12	9	7	8	16	25	6	5	10	3	3
NA_peak_30	5K5_v5.1	69421	70265	.	845	1558	3673	2582	3085	1	88	35	0	1	195	56	1	0	144	51	0	2	175	71	0
NA_peak_31	5K5_v5.1	71334	72347	.	1014	192	2610	2128	1764	7	4	0	4	7	120	33	1	0	114	29	0	5	92	30	0
